Player Name,Instagram Ranking,#Instagram Followers,WTA Ranking,Country,Link to Profile
Sara Sorribes Tormo,84,4607,78,Spain,https://www.instagram.com/sarasorribes/
Shuai Zhang,85,4548,40,China,https://www.instagram.com/zhangshuai121
Alison Van Uytvanck,86,3911,50,Belgium,https://www.instagram.com/alison_van_uytvanck
Rebecca Peterson,87,3106,54,Sweden,https://www.instagram.com/rebeccapeterson/
Mona Barthel,88,2726,81,Germany,https://www.instagram.com/monabarthel7/
Saisai Zheng,89,2583,42,CHINA,https://www.instagram.com/zheng_saisai/
Dalila Jakupovic,90,2384,86,Slovenia,https://www.instagram.com/dalilajakupovic/
Tatjana Maria,91,2337,67,Germany,https://www.instagram.com/tatjanamaria87/
Tamara Zidansek,92,1585,63,Slovenia,https://www.instagram.com/tamarazidansek997
Anna Blinkova,93,115,95,Russia,https://www.instagram.com/anna__blinkova
Su-Wei Hsieh,94,595,31,CHINESE TAIPEI,https://www.instagram.com/hsieh.suwei/
Stefanie Voegele,95,462,84,Switzerland,https://www.instagram.com/stefanievoegele/
Luksika Kumkhum,96,392,79,Thailand,https://www.instagram.com/luksikakumkhum_official/
Ekaterina Alexandrova,97,261,65,Russia,https://www.instagram.com/ekatalexandrova/
